,Station Name,ID,Lat.,Lon.,GLOSS ID  ,Country  ,Date,Coastline  ,Station  
619,ONISAKI,1026,34.904,136.824,,JPN,08/02/2017,642,128
620,NAGOYA,860,35.083,136.883,,JPN,15/09/1997,642,131
621,NAGOYA II,1488,35.091,136.881,,JPN,09/02/2017,642,132
622,TOBA,627,34.467,136.85,,JPN,01/01/1980,642,134
623,OWASE,1146,34.076,136.207,,JPN,08/02/2017,642,136
624,URAGAMI,1090,33.558,135.896,,JPN,08/02/2017,642,138
625,KUSHIMOTO,134,33.476,135.773,85.0,JPN,08/02/2017,642,141
626,SHIRAHAMA,1150,33.684,135.375,,JPN,08/02/2017,643,5
627,KAINAN,701,34.144,135.191,,JPN,08/02/2017,643,13
628,WAKAYAMA,816,34.222,135.146,,JPN,08/02/2017,643,15
629,TAN-NOWA,817,34.339,135.178,,JPN,08/02/2017,643,17
630,OSAKA,1099,34.658,135.433,,JPN,08/02/2017,643,21
631,KOBE,846,34.683,135.183,,JPN,21/02/1997,643,24
632,KOBE II,1790,34.682,135.19,,JPN,09/02/2017,643,25
633,SUMOTO,1098,34.341,134.907,,JPN,08/02/2017,643,26
634,UNO,812,34.489,133.949,,JPN,08/02/2017,643,31
635,KURE II,749,34.233,132.533,,JPN,01/01/1980,643,41
636,KURE III,1023,34.233,132.55,,JPN,01/01/1980,643,42
637,KURE IV,1209,34.241,132.55,,JPN,08/02/2017,643,43
638,HIROSIMA,1028,34.353,132.465,,JPN,08/02/2017,643,44
639,TOKUYAMA I,669,34.033,131.8,,JPN,01/01/1980,643,51
640,TOKUYAMA II,1210,34.041,131.803,,JPN,08/02/2017,643,52
641,KOCHI II,1184,33.5,133.583,,JPN,01/01/1980,644,2
642,KURE I,1320,33.334,133.243,,JPN,09/02/2017,644,4
643,KOCHI III,1567,33.499,133.569,,JPN,09/02/2017,644,5
644,TOSA SHIMIZU,815,32.779,132.959,,JPN,08/02/2017,644,11
645,UWAJIMA I,461,33.233,132.55,,JPN,01/01/1980,644,21
646,UWAJIMA II,1212,33.227,132.551,,JPN,08/02/2017,644,22
647,MATSUYAMA I,880,33.867,132.7,,JPN,01/01/1980,644,31
648,MATSUYAMA II,1062,33.859,132.712,,JPN,08/02/2017,644,32
649,TAKAMATSU,847,34.35,134.05,,JPN,01/07/1994,644,41
650,TAKAMATSU II,1789,34.351,134.057,,JPN,09/02/2017,644,42
651,KOMATSUSHIMA,809,34.009,134.588,,JPN,08/02/2017,644,51
652,MUROTOMISAKI,1390,33.266,134.164,,JPN,09/02/2017,644,61
653,MOZI,912,33.95,130.967,,JPN,21/04/2009,645,4
654,OITA II,1293,33.266,131.687,,JPN,09/02/2017,645,9
655,HOSOJIMA,133,32.429,131.669,,JPN,08/02/2017,645,11
656,ABURATSU,814,31.577,131.409,82.0,JPN,08/02/2017,645,21
657,NISINOOMOTE,1096,30.735,130.992,,JPN,08/02/2017,645,31
658,ODOMARI,1097,31.024,130.689,,JPN,08/02/2017,645,33
659,KAGOSHIMA I,868,31.6,130.567,,JPN,01/01/1980,645,40
660,MAKURAZAKI I,1142,31.267,130.3,,JPN,01/01/1980,645,42
661,AKUNE,1265,32.018,130.191,,JPN,08/02/2017,645,45
662,MISUMI,810,32.623,130.451,,JPN,07/02/2013,645,51
663,OURA,1102,32.977,130.221,,JPN,08/02/2017,645,59
664,KUCHINOTSU,1386,32.605,130.195,,JPN,09/02/2017,645,62
665,NAGASAKI,1100,32.735,129.866,83.0,JPN,08/02/2017,645,64
666,FUKUE,1101,32.696,128.849,,JPN,08/02/2017,645,66
667,SASEBO I,672,33.167,129.717,,JPN,01/01/1980,645,71
668,SASEBO II,1147,33.158,129.724,,JPN,08/02/2017,645,72
669,KARIYA,1318,33.473,129.849,,JPN,09/02/2017,645,75
670,IZUHARA,661,34.2,129.3,,JPN,04/05/1988,645,81
671,IZUHARA II,1586,34.198,129.292,,JPN,09/02/2017,645,82
672,HAKATA,1094,33.619,130.408,,JPN,08/02/2017,645,91
673,NASE I,887,28.383,129.5,,JPN,01/01/1980,646,1
674,NASE II,1018,28.383,129.5,,JPN,01/01/1980,646,2
675,NASE III,1522,28.5,129.5,,JPN,09/02/2017,646,3
676,NAKANO SIMA,1105,29.842,129.848,,JPN,08/02/2017,646,11
677,OKINAWA,1388,26.179,127.824,,JPN,09/02/2017,646,21
678,NAHA,1151,26.213,127.665,81.0,JPN,08/02/2017,646,24
679,ISHIGAKI,1411,24.333,124.167,,JPN,15/12/1989,646,41
680,ISHIGAKI II,1671,24.332,124.164,,JPN,09/02/2017,646,42
681,SHIMONOSEKI III,1830,33.925,130.928,,JPN,06/02/2014,647,10
682,SHIMONOSEKI I,845,33.967,130.95,,JPN,09/05/1995,647,11
683,SHIMONOSEKI II,783,33.967,130.95,,JPN,01/01/1980,647,12
684,HAGI,1306,34.433,131.417,,JPN,03/02/1993,647,15
685,TONOURA,94,34.9,132.067,326.0,JPN,04/05/1988,647,21
686,HAMADA II,1585,34.897,132.066,326.0,JPN,09/02/2017,647,23
687,SAKAI,811,35.548,133.243,,JPN,08/02/2017,647,41
688,SAIGO,1095,36.201,133.331,,JPN,08/02/2017,647,43
689,TAJIRI,1148,35.594,134.316,,JPN,08/02/2017,647,47
690,MIYAZU,872,35.533,135.183,,JPN,01/01/1980,647,51
691,MAIZURU I,663,35.483,135.4,,JPN,01/01/1980,647,61
692,MAIZURU II,1387,35.477,135.387,,JPN,09/02/2017,647,62
693,MAIZURU III,1523,35.45,135.317,,JPN,21/04/2009,647,63
694,MIKUNI,1190,36.255,136.149,,JPN,08/02/2017,647,65
695,TOYAMA,1389,36.762,137.225,325.0,JPN,09/02/2017,647,68
696,WAJIMA,132,37.406,136.9,,JPN,08/02/2017,647,71
697,KASHIWAZAKI,753,37.357,138.508,,JPN,08/02/2017,647,81
698,OGI,1344,37.815,138.281,,JPN,09/02/2017,647,86
699,AWA SIMA,1093,38.468,139.255,,JPN,08/02/2017,647,90
700,NEZUGASEKI,752,38.563,139.546,,JPN,08/02/2017,647,91
701,OGA,1264,39.942,139.706,,JPN,08/02/2017,647,96
702,IWASAKI,121,40.583,139.917,,JPN,01/01/1980,647,101
703,OMINATO,679,41.25,141.15,,JPN,21/04/2009,647,111
704,ASAMUSHI,721,40.898,140.859,,JPN,08/02/2017,647,121
705,CHICHIJIMA,1391,27.083,142.183,103.0,JPN,09/02/2017,648,1
706,ST HELIER (JERSEY) 2,1795,49.183,-2.117,,JEY,28/06/2017,180,2
707,MOMBASA II,2183,-4.067,39.65,8.0,KEN,28/10/2015,470,2
708,LAMU B,2198,-2.272,40.903,,KEN,28/10/2015,470,14
709,"TARAWA-A,BETIO",1381,1.367,172.933,113.0,KIR,29/08/1990,730,6
710,"TARAWA-B,BAIRIKI",1579,1.333,173.017,113.0,KIR,15/11/1990,730,7
711,"TARAWA-C,BETIO",1739,1.367,172.933,113.0,KIR,17/10/2002,730,8
712,BETIO,1804,1.365,172.933,113.0,KIR,25/01/2017,730,9
713,KANTON ISLAND,575,-2.8,-171.717,145.0,KIR,01/01/1980,750,11
714,KANTON ISLAND-B,1329,-2.817,-171.717,145.0,KIR,14/10/2013,750,12
715,FANNING-B,1361,3.9,-159.383,,KIR,18/05/1994,770,12
716,CHRISTMAS ISLAND,801,1.983,-157.467,146.0,KIR,01/01/1980,770,21
717,CHRISTMAS ISLAND II,1371,1.983,-157.483,146.0,KIR,29/10/2015,770,22
718,WONSAN,1007,39.167,127.45,307.0,PRK,03/09/1993,625,11
719,INCHEON,956,37.452,126.592,,KOR,25/04/2017,620,11
720,ANHEUNG,1699,36.674,126.132,,KOR,25/04/2017,620,14
721,BORYEONG,1675,36.406,126.486,,KOR,25/04/2017,620,17
722,KUNSAN,959,35.983,126.717,,KOR,25/01/2001,620,21
723,GUNSAN (OUTER PORT),1527,35.976,126.563,,KOR,25/04/2017,620,22
724,WIDO,1628,35.618,126.302,,KOR,25/04/2017,620,24
725,MOKPO,954,34.78,126.376,,KOR,25/04/2017,620,27
726,HEUKSANDO,1489,34.684,125.436,,KOR,23/05/2017,620,28
727,SEOGWIPO,1627,33.24,126.562,,KOR,25/04/2017,620,32
728,JEJU,1066,33.528,126.543,,KOR,25/04/2017,620,33
729,WANDO,1568,34.315,126.76,,KOR,25/04/2017,620,34
730,GEOMUNDO,1546,34.028,127.309,,KOR,25/04/2017,620,35
731,YEOSU,1155,34.747,127.766,,KOR,25/04/2017,620,36
732,TONGYEONG,1446,34.828,128.435,,KOR,25/04/2017,620,38
733,CHUJADO,1588,33.962,126.3,,KOR,25/04/2017,620,39
734,CHINHAE,970,35.15,128.65,,KOR,01/01/1980,620,41
735,GADEOKDO,1445,35.025,128.811,,KOR,25/04/2017,620,43
736,BUSAN,955,35.096,129.036,84.0,KOR,25/04/2017,620,46
737,ULSAN,997,35.502,129.387,,KOR,25/04/2017,620,51
738,POHANG,1324,36.047,129.384,,KOR,25/04/2017,620,56
739,ULLEUNG,1490,37.491,130.914,,KOR,25/04/2017,620,59
740,MUKHO,1108,37.55,129.116,,KOR,25/04/2017,620,61
741,SOKCHO,1365,38.207,128.594,,KOR,25/04/2017,620,71
742,DAUGAVGRIVA,37,57.05,24.033,,LVA,01/01/1980,83,81
743,LIEPAJA,26,56.533,20.983,,LVA,30/03/2016,83,151
744,KLAIPEDA,118,55.7,21.133,,LTU,17/07/2012,84,161
745,MACAU,269,22.2,113.55,,MAC,06/09/1990,609,1
746,NOSY-BE,926,-13.4,48.283,15.0,MDG,01/01/1980,440,1
747,PULAU LANGKAWI,1676,6.431,99.764,,MYS,22/06/2016,550,2
748,PULAU PINANG,1595,5.422,100.347,,MYS,22/06/2016,550,3
749,LUMUT,1594,4.24,100.613,43.0,MYS,22/06/2016,550,5
750,PELABUHAN KELANG,1591,3.05,101.358,,MYS,22/06/2016,550,7
751,TANJUNG KELING,1593,2.215,102.153,,MYS,22/06/2016,550,9
752,KUKUP,1677,1.325,103.443,,MYS,22/06/2016,550,10
753,JOHOR BAHRU,248,1.462,103.792,,MYS,04/05/2017,550,11
754,TANJUNG SEDILI,1702,1.932,104.115,,MYS,22/06/2016,550,12
755,PULAU TIOMAN,1678,2.807,104.14,,MYS,22/06/2016,550,13
756,TANJUNG GELANG,1589,3.975,103.43,,MYS,22/06/2016,550,14
757,CENDERING,1592,5.265,103.187,293.0,MYS,22/06/2016,550,17
758,GETING,1703,6.226,102.107,,MYS,22/06/2016,550,21
759,MIRI,1819,4.401,113.974,,MYS,04/05/2017,663,1
760,BINTULU,1833,3.262,113.064,,MYS,22/06/2016,663,11
761,SEJINGKAT,1893,1.583,110.422,,MYS,25/07/2011,663,21
762,LABUAN 2,1879,5.273,115.25,,MYS,22/06/2016,665,2
763,KOTA KINABALU,1733,5.983,116.067,,MYS,22/06/2016,665,31
764,KUDAT,1876,6.879,116.844,,MYS,22/06/2016,665,38
765,SANDAKAN,1834,5.81,118.067,,MYS,22/06/2016,665,45
766,LAHAT DATU,1877,5.019,118.346,,MYS,22/06/2016,665,53
767,TAWAU,1734,4.233,117.883,,MYS,22/06/2016,665,61
768,GAN II,1707,-0.683,73.15,27.0,MDV,29/10/2015,454,2
769,"MALE-B, HULULE",1753,4.183,73.533,28.0,MDV,15/10/2013,454,11
770,MARSAXLOKK (FORMALLY VALLETTA),1735,35.82,14.533,,MLT,23/06/2016,265,1
771,ENEWETOK,665,11.367,162.35,,MHL,01/01/1980,720,1
772,KWAJALEIN,513,8.732,167.735,111.0,MHL,08/03/2016,720,11
773,MAJURO-B,1217,7.1,171.367,112.0,MHL,17/10/2002,720,16
774,MAJURO-C,1838,7.106,171.373,112.0,MHL,25/01/2017,720,17
775,WAKE ISLAND,595,19.29,166.617,105.0,MHL,02/02/2017,720,21
776,FORT-DE-FRANCE II,1942,14.602,-61.063,338.0,MTQ,22/03/2017,912,21
777,GRAND PORT,930,-20.367,57.75,,MUS,01/01/1980,450,1
778,PORT LOUIS,477,-20.15,57.5,18.0,MUS,12/06/1991,450,11
779,PORT LOUIS II,1673,-20.15,57.5,18.0,MUS,17/01/2017,450,12
780,RODRIGUES IS,1672,-19.667,63.417,19.0,MUS,17/01/2017,450,21
781,DZAOUDZI,1642,-12.782,45.258,96.0,MYT,30/08/2016,438,1
782,ENSENADA,795,31.85,-116.633,,MEX,12/01/2012,830,1
783,BAHIA SAN QUINTIN,1457,30.483,-115.983,,MEX,29/12/1994,830,5
784,GUADALUPE ISLAND II,1413,28.883,-118.3,160.0,MEX,29/01/1992,830,12
785,ISLA DE CEDROS,1430,28.1,-115.183,,MEX,29/01/1992,830,14
786,CABO SAN LUCAS,1355,22.883,-109.9,161.0,MEX,31/07/2014,830,20
787,LA PAZ,695,24.167,-110.35,,MEX,14/05/2013,830,21
788,LORETO,1410,26.017,-111.367,,MEX,29/01/1992,830,23
789,BAHIA DE LOS ANGELES,1357,28.967,-113.55,,MEX,03/12/1997,830,25
790,GUAYMAS,693,27.917,-110.9,,MEX,14/05/2013,830,31
791,TOPOLOBAMPO,793,25.6,-109.05,,MEX,21/01/1992,830,41
792,MAZATLAN,712,23.2,-106.417,,MEX,14/02/1996,830,51
793,MANZANILLO,737,19.05,-104.333,163.0,MEX,23/01/1992,830,71
794,MANZANILLO 2,1818,19.067,-104.3,163.0,MEX,23/09/2015,830,72
795,ACAPULCO,686,16.833,-99.917,267.0,MEX,24/06/2015,830,81
796,PUERTO ANGEL,1015,15.5,-96.5,164.0,MEX,14/02/1996,830,86
797,SALINA CRUZ,689,16.167,-95.2,,MEX,14/05/2013,830,91
798,PROGRESO,690,21.3,-89.667,213.0,MEX,24/06/2015,920,1
799,CIUDAD DEL CARMEN,796,18.633,-91.85,,MEX,24/01/1992,920,11
800,COATZACOALCOS,692,18.15,-94.417,,MEX,23/01/1992,920,21
801,ALVARADO,768,18.767,-95.767,,MEX,23/01/1992,920,31
802,TUXPAN,918,21.0,-97.333,,MEX,15/05/2013,920,51
803,CIUDAD MADERO,1020,22.25,-97.8,,MEX,09/10/1990,920,66
804,"CHUUK, MOEN ISLAND",528,7.447,151.847,116.0,FSM,10/03/2000,710,1
805,KAPINGAMARANGI,1473,1.1,154.783,117.0,FSM,28/10/2015,710,26
806,POHNPEI-B,1370,6.983,158.233,115.0,FSM,04/11/2015,710,31
807,POHNPEI C,1925,6.981,158.2,115.0,FSM,25/01/2017,710,32
808,MONACO (FONTVIEILLE),788,43.729,7.421,,MCO,22/03/2017,233,11
809,BAR,1075,42.083,19.083,,MNE,03/02/1993,281,11
810,VILLA SANJURJO,506,35.25,-3.917,,MAR,01/01/1980,350,4
811,MAPUTO,986,-25.967,32.567,,MOZ,12/10/2005,432,1
812,MOZAMBIQUE ISLAND,1054,-15.033,40.733,,MOZ,01/01/1980,432,21
813,AKYAB,421,20.133,92.9,37.0,MMR,01/01/1980,530,1
814,RANGOON,210,16.767,96.167,,MMR,01/01/1980,530,11
815,MOULMEIN,747,16.483,97.617,141.0,MMR,01/01/1980,530,21
816,AMHERST,746,16.083,97.567,,MMR,01/01/1980,530,31
817,WALVIS BAY,914,-22.949,14.499,314.0,NAM,05/04/2016,427,1
818,LUDERITZ,911,-26.643,15.155,,NAM,05/04/2016,427,11
819,NAURU,1374,-0.533,166.9,114.0,NRU,14/02/1996,715,1
820,NAURU-B,1844,-0.529,166.91,114.0,NRU,25/01/2017,715,2
821,DELFZIJL,24,53.326,6.933,,NLD,17/07/2017,150,1
822,WEST-TERSCHELLING,236,53.363,5.22,,NLD,17/07/2017,150,11
823,HARLINGEN,25,53.176,5.409,,NLD,17/07/2017,150,21
824,DEN HELDER,23,52.964,4.745,,NLD,17/07/2017,150,31
825,IJMUIDEN,32,52.462,4.555,,NLD,17/07/2017,150,41
826,HOEK VAN HOLLAND,22,51.978,4.12,,NLD,17/07/2017,150,51
827,MAASSLUIS,9,51.918,4.25,,NLD,17/07/2017,150,61
828,ROOMPOT BUITEN,1551,51.62,3.682,,NLD,17/07/2017,150,90
829,VLISSINGEN,20,51.442,3.596,,NLD,17/07/2017,150,101
830,NOUMEA-CHALEIX,852,-22.3,166.433,123.0,NCL,13/09/1991,740,1
831,NOUMEA-NUMBO,2134,-22.242,166.416,123.0,NCL,22/03/2017,740,21
832,MARE,2239,-21.548,167.877,,NCL,23/03/2017,740,22
833,AUCKLAND-WAITEMATA HARBOUR,217,-36.843,174.769,127.0,NZL,27/08/1999,690,1
834,AUCKLAND II,150,-36.843,174.769,127.0,NZL,09/06/2003,690,2
835,MOTURIKI ISLAND,978,-37.632,176.185,,NZL,23/11/2010,690,4
836,TAURANGA (SALISBURY WHARF),1590,-37.641,176.181,,NZL,13/06/2017,690,6
837,GISBORNE,1613,-38.675,178.022,,NZL,13/06/2017,690,8
838,NAPIER,1750,-39.476,176.92,,NZL,13/06/2017,690,9
839,WELLINGTON HARBOUR,221,-41.284,174.78,101.0,NZL,13/06/2017,690,11
840,WELLINGTON II,500,-41.284,174.78,101.0,NZL,04/03/2013,690,12
841,PORT LYTTELTON,247,-43.606,172.722,,NZL,13/06/2017,690,21
842,LYTTELTON II,259,-43.606,172.722,,NZL,17/01/2003,690,22
843,TIMARU HARBOUR,998,-44.394,171.256,,NZL,13/06/2017,690,26
844,PORT CHALMERS,1643,-45.815,170.624,,NZL,13/06/2017,690,28
845,DUNEDIN,252,-45.879,170.513,,NZL,01/01/1980,690,31
846,DUNEDIN II,136,-45.879,170.513,,NZL,13/06/2017,690,32
847,BLUFF (SOUTHLAND HARBOUR),213,-46.598,168.345,129.0,NZL,13/06/2017,690,41
848,GREYMOUTH,993,-42.45,171.2,,NZL,01/01/1980,690,51
849,WESTPORT HARBOUR,1004,-41.746,171.595,,NZL,25/05/1995,690,61
850,NELSON,787,-41.261,173.273,,NZL,13/06/2017,690,71
851,WANGANUI,1621,-39.945,174.993,,NZL,19/05/1989,690,77
852,PORT TARANAKI,996,-39.056,174.034,,NZL,13/06/2017,690,81
853,WHANGAREI HARBOUR (MARSDEN POINT),1065,-35.757,174.35,,NZL,13/06/2017,690,105
854,CHATHAM ISLAND,1920,-43.946,-176.561,128.0,NZL,17/11/2010,690,401
855,FORCADOS,389,5.35,5.35,,NGA,05/10/1992,420,11
856,NORFOLK ISLAND,821,-29.058,167.954,124.0,NFK,28/09/2016,680,91
857,SAIPAN,1474,15.233,145.75,118.0,MNP,28/10/2015,700,11
858,VARDO,524,70.375,31.104,323.0,NOR,08/09/2016,40,1
859,VADSO,1257,70.067,29.75,,NOR,18/10/1994,40,5
860,BERLEVAG,442,70.85,29.1,,NOR,01/01/1980,40,11
861,HONNINGSVAG,1267,70.98,25.973,,NOR,08/09/2016,40,15
862,HAMMERFEST,758,70.665,23.683,,NOR,08/09/2016,40,21
863,TROMSO,680,69.647,18.961,,NOR,08/09/2016,40,31
864,ANDENES,425,69.326,16.135,322.0,NOR,08/09/2016,40,41
865,HARSTAD,681,68.801,16.548,,NOR,08/09/2016,40,61
866,EVENSKJAER,531,68.583,16.55,,NOR,01/01/1980,40,71
867,NARVIK,312,68.428,17.426,,NOR,08/09/2016,40,81
868,KABELVAG,45,68.213,14.482,,NOR,08/09/2016,40,91
869,BODO,562,67.288,14.391,,NOR,08/09/2016,40,101
870,SANDNESSJOEN,1137,66.017,12.633,,NOR,01/01/1980,40,117
871,MOSJOEN,781,65.85,13.2,,NOR,01/01/1980,40,121
872,BRONNOYSUND,803,65.483,12.217,,NOR,01/01/1980,40,131
873,RORVIK,1241,64.859,11.23,234.0,NOR,08/09/2016,40,136
874,TRONDHEIM,34,63.433,10.433,,NOR,30/09/1991,40,141
875,TRONDHEIM 2,1748,63.436,10.392,,NOR,08/09/2016,40,142
876,HEIMSJO,313,63.425,9.102,,NOR,08/09/2016,40,151
877,KRISTIANSUND,682,63.114,7.734,,NOR,08/09/2016,40,161
878,ALESUND,509,62.469,6.152,,NOR,08/09/2016,40,191
879,KJOLSDAL,398,61.917,5.633,,NOR,10/10/1994,40,201
880,MALOY,486,61.934,5.113,,NOR,08/09/2016,40,211
881,BERGEN,58,60.398,5.32,,NOR,08/09/2016,40,221
882,STAVANGER,47,58.974,5.73,,NOR,08/09/2016,40,261
883,TREGDE,302,58.006,7.555,321.0,NOR,08/09/2016,40,301
884,HELGEROA,1113,58.995,9.856,,NOR,08/09/2016,40,310
885,NEVLUNGHAVN,401,58.967,9.883,,NOR,01/01/1980,40,311
886,OSLO,62,59.909,10.735,,NOR,08/09/2016,40,321
887,OSCARSBORG,33,59.678,10.605,,NOR,08/09/2016,40,331
888,VIKER,1759,59.036,10.95,,NOR,08/09/2016,40,341
889,SALALAH,1754,16.933,54.0,4.0,OMN,13/01/2016,487,1
890,MASIRAH,1887,20.683,58.867,,OMN,29/10/2015,487,12
891,MUSCAT,1716,23.633,58.567,,OMN,15/10/2013,487,21
892,MUSCAT B,2185,23.628,58.565,,OMN,28/10/2015,487,22
893,KARACHI,204,24.812,66.975,30.0,PAK,27/01/2016,490,21
894,MALAKAL-B,1252,7.333,134.467,120.0,PLW,29/10/2015,711,21
895,PUERTO ARMUELLES,668,8.267,-82.867,,PAN,01/01/1980,840,1
896,PUERTO ARMUELLES B,1571,8.267,-82.867,,PAN,05/06/2014,840,2
897,BALBOA,163,8.967,-79.567,168.0,PAN,26/04/2017,840,11
898,NAOS ISLAND,581,8.918,-79.55,,PAN,01/01/1980,840,21
899,NAOS ISLAND 2,1783,8.918,-79.533,,PAN,07/10/1998,840,22
900,COCO SOLO,1530,9.367,-79.883,208.0,PAN,21/08/1997,904,6
901,CRISTOBAL,169,9.35,-79.917,208.0,PAN,16/01/2012,904,11
902,LAE,1303,-6.75,147.0,,PNG,03/07/2013,670,2
903,ALOTAU,1607,-10.317,150.45,63.0,PNG,03/07/2013,670,6
904,PORT MORESBY,439,-9.483,147.133,,PNG,20/05/1996,670,11
905,PORT MORESBY II,1610,-9.483,147.133,,PNG,26/03/2013,670,12
906,RABAUL,1164,-4.2,152.183,65.0,PNG,08/12/1998,670,21
907,KAVIENG,1608,-2.583,150.8,,PNG,03/07/2013,670,31
908,MANUS ISLAND,1609,-2.017,147.267,,PNG,03/07/2013,670,41
909,LOMBRUM,1860,-2.042,147.374,331.0,PNG,25/01/2017,670,43
910,WEWAK,1304,-3.55,143.633,,PNG,03/07/2013,670,51
911,MADANG,1254,-5.217,145.8,,PNG,03/07/2013,670,61
912,TALARA,475,-4.617,-81.283,,PER,01/01/1980,848,11
913,CHIMBOTE,771,-9.083,-78.633,,PER,01/01/1980,848,21
914,CALLAO 2,1274,-12.05,-77.15,173.0,PER,29/10/2015,848,32
915,SAN JUAN,923,-15.367,-75.2,,PER,01/01/1980,848,41
916,MATARANI,458,-17.0,-72.117,,PER,01/03/1990,848,51
917,MATARANI B,2188,-17.002,-72.108,,PER,04/11/2015,848,55
918,"SAN FERNANDO, LA UNION",548,16.617,120.3,,PHL,27/06/1990,660,1
919,SAN JOSE,1711,12.333,121.083,,PHL,02/05/2017,660,2
920,PORT IRENE,1705,18.383,122.1,,PHL,08/10/2008,660,3
921,CATICLAN MALAY AKLAN,2172,11.95,121.933,,PHL,08/12/2016,660,4
922,"PULUPANDAN, NEGROS OCCIDENTAL",2151,10.517,122.8,,PHL,08/12/2016,660,5
923,CURRIMAO ILOCOS NORTE,2173,17.983,120.483,,PHL,08/12/2016,660,7
924,"BALANACAN, MARINDUQUE",2157,13.533,121.867,,PHL,08/12/2016,660,8
925,SUBIC ZAMBALES,2176,14.767,120.25,,PHL,08/12/2016,660,9
926,"MANILA, S. HARBOR",145,14.583,120.967,73.0,PHL,08/12/2016,660,11
927,"LEGASPI, ALBAY",522,13.15,123.75,72.0,PHL,08/12/2016,660,21
928,"VIRAC, CATANDUANES",2150,13.583,124.233,,PHL,08/12/2016,660,22
929,REAL QUEZON,2035,14.667,121.6,,PHL,08/12/2016,660,24
930,"TACLOBAN, LEYTE",664,11.25,125.0,,PHL,01/01/1980,660,71
931,CEBU,394,10.3,123.917,,PHL,08/12/2016,660,101
932,"BALINTANG, QUEZON, PALAWAN",2155,9.35,118.133,,PHL,12/12/2013,660,106
933,"PUERTO PRINCESA, PALAWAN",207,9.75,118.733,,PHL,08/12/2016,660,111
934,"MATI, DAVAO ORIENTAL",2156,6.95,126.217,,PHL,08/12/2016,660,116
935,"DAVAO, DAVAO GULF",537,7.083,125.633,71.0,PHL,08/12/2016,660,121
936,PAGADIAN CITY,2152,7.817,123.433,,PHL,08/12/2016,660,125
937,"MAKAR, GENERAL SANTOS CITY",2153,6.1,125.15,,PHL,02/05/2017,660,128
938,ZAMBOANGA CITY,2175,6.917,122.067,,PHL,02/05/2017,660,133
939,"JOLO, SULU",260,6.067,121.0,70.0,PHL,30/03/1999,660,141
940,"MACABALAN PORT, CAGAYAN DE ORO",2154,8.5,124.667,,PHL,08/12/2016,660,145
941,"TANDAG, SURIGAO DEL SUR",2158,9.083,126.2,,PHL,08/12/2016,660,148
942,MAMBAJAO CAMGUIN,2174,9.25,124.733,,PHL,08/12/2016,660,150
943,SURIGAO,1708,9.783,125.5,,PHL,08/12/2016,660,151
944,GDANSK/NOWY PORT,64,54.4,18.683,,POL,19/10/2001,110,22
945,GDYNIA,364,54.533,18.55,,POL,01/01/1980,110,32
946,HEL,146,54.6,18.8,,POL,30/03/2016,110,42
947,WLADYSLAWOWO,645,54.8,18.417,,POL,19/10/2001,110,47
948,USTKA,644,54.583,16.867,,POL,19/10/2001,110,57
949,KOLOBRZEG,643,54.183,15.55,,POL,19/10/2001,110,72
950,SWINOUJSCIE,2,53.917,14.233,,POL,19/10/2001,110,92
951,VIANA,1482,41.683,-8.833,,PRT,09/11/1998,210,11
952,LEIXOES,791,41.183,-8.7,,PRT,09/11/1998,210,12
953,AVEIRO,1402,40.65,-8.75,,PRT,06/11/1998,210,13
954,CASCAIS,52,38.683,-9.417,246.0,PRT,27/01/2016,210,21
955,LISBON,1336,38.7,-9.133,,PRT,30/11/1988,210,23
956,SETROIA,1425,38.5,-8.9,,PRT,09/11/1998,210,26
957,SINES,1456,37.95,-8.883,,PRT,09/11/1998,210,28
958,LAGOS,162,37.1,-8.667,,PRT,27/01/2016,210,31
959,PONTA DELGADA,258,37.736,-25.671,245.0,PRT,06/06/2017,360,1
960,ANGRA DO HEROISMO,380,38.65,-27.233,,PRT,04/11/1998,360,11
961,LAJES DAS FLORES,2171,39.378,-31.169,,PRT,06/06/2017,360,36
962,SANTA CRUZ DAS FLORES,843,39.45,-31.117,244.0,PRT,10/08/2016,360,41
963,FUNCHAL,1030,32.644,-16.913,250.0,PRT,14/04/2009,365,1
964,FUNCHAL II,2024,32.651,-17.118,250.0,PRT,06/06/2017,365,10
965,CULEBRA,2120,18.302,-65.303,,PRI,12/02/2014,938,1
966,"ESPERANZA, VIEQUES",2209,18.093,-65.472,,PRI,07/02/2017,938,4
967,MAGUEYES ISLAND,759,17.97,-67.045,,PRI,02/02/2017,938,11
968,SAN JUAN,1001,18.458,-66.115,206.0,PRI,02/02/2017,938,21
969,AGUADILLA,2121,18.457,-67.163,,PRI,18/02/2013,938,31
970,MONA ISLAND,2122,18.09,-67.938,,PRI,02/02/2017,938,41
971,POINTE DES GALETS,1501,-20.935,55.285,17.0,REU,22/03/2017,451,1
972,CONSTANTZA,379,44.167,28.667,,ROU,01/07/1998,297,21
973,RUSSKAYA GAVAN,711,76.2,62.583,99.0,RUS,12/07/1994,30,1
974,RUSSKAIA GAVAN II,710,76.183,62.583,99.0,RUS,17/01/2003,30,3
975,BELYI NOS,859,69.6,60.217,,RUS,17/01/2003,30,7
976,BUGRINO,2025,68.8,49.333,,RUS,20/07/2010,30,10
977,KRENKELIA (HEISA OSTROV),1012,80.617,58.05,,RUS,17/01/2003,30,14
978,MALYE KARMAKULY,609,72.367,52.7,,RUS,17/01/2003,30,16
